question	answer	question_seg	question_seg_stop
股票质押回购的标的证券的权益如何处理？	待购回期间，由于标的证券在融入方的账户进行质押，由此产生的无需支付对价的股东或持有人权益，一并予以质押登记。对于需支付对价的股东或持有人权益，则由融入方自行行使，所取得的证券不随标的证券一并质押。标的证券质押后，融入方仍是标的证券的持有人，所以，融入方有权行使基于股东身份享有的出席股东大会、提案、表决等权利。	['股票', '质押', '回购', '的', '标的', '证券', '的', '权益', '如何', '处理']	 股票 质押 回购 标的 证券 权益 处理
港股通市场波动调节机制的参考价格是怎么选定的？	在早市持续交易时段，参考价格为该市调机制证券买卖盘5分钟前的最后交易成交价。该最后交易成交价在每一分钟结束时更新一次。如果在早市内该市调机制证券没有交易，那么其在该日开市前时段的对盘前时段结束时计算所得的参考平衡价格为参考价格；如果没有上述参考平衡价格，那么其参考价格为该市调机制证券在早市内的第一笔经自动对盘达成的成交价。在午市持续交易时段，参考价格为该市调机制证券买卖盘5分钟前的最后交易成交价。该最后交易成交价在每1分钟结束时更新一次。如果午市开市后至市调机制监测开市前5分钟都没有交易，那么该市调机制证券在午市的第一笔经自动对盘达成的交易成交价为参考价。	['港股', '通', '市场', '波动', '调节', '机制', '的', '参考价格', '是', '怎么', '选定', '的']	 港股 通 市场 波动 调节 机制 参考价格 选定
股票质押式回购融入方出现违约时如何处理？	根据《担保法》、《物权法》的有关规定，在融入方不按照约定到期购回或者发生约定的实现质权的情形时，质权人可以就拍卖、变卖质押财产所得价款优先受偿。为了保护交易双方利益，《业务办法》规定《业务协议》中应当约定质押标的证券及相应孳息的担保范围、处置方式、处置所得的偿还顺序等具体内容，并且约定由交易双方委托证券公司负责交易盯市、违约处置等事宜。　发生合同约定须处置质押标的证券时，对于无限售条件股份，通过上交所进行处置的，由证券公司根据约定向交易所提交违约处置申报，中国结算处理成功后，次日起证券公司即可根据《业务协议》的约定处置标的证券，处置所得优先偿付融出方。证券公司应当根据《业务协议》的约定将偿付资金划付到融出方对应的账户。对于仍处于限售期的有限售条件股份，证券公司应当按照《业务协议》的约定处理。	['股票', '质押', '式', '回购', '融入', '方', '出现', '违约', '时', '如何', '处理']	 股票 质押 式 回购 融入 方 出现 违约 时 处理
股票质押回购业务中体现了哪些法律关系？	一是从股票质押回购交易的基础法律关系看，是附证券质押担保的资金借贷关系，无论何种出资情形，均只涉及两方当事人融入方、融出方，是两方法律关系。在集合计划或定向客户为融出方时，无论是证券公司或其资产管理子公司作为管理人，均是管理人以融出方的身份，与融入方建立两方的基础法律关系。　二是从业务管理的角度看，部分职能由融入方、融出方委托作为中介服务机构的证券公司行使。主要包括交易申报、盯市管理、违约处置三项。不同出资情形下，证券公司的角色会发生一定重合，但不改变股票质押回购交易的两方基础法律关系与业务管理关系。融出方为证券公司自营时，证券公司同时承担融出方、中介服务机构的角色；融出方为证券公司管理的资管产品时，融出方的角色为集合计划或定向客户，证券公司承担融出方管理人、中介服务机构的角色；融出方为资管子公司管理的资管产品时，证券公司只承担中介服务机构的角色。	['股票', '质押', '回购', '业务', '中', '体现', '了', '哪些', '法律', '关系']	 股票 质押 回购 业务 中 体现 法律 关系
《业务办法》对股票质押回购的回购期限和交易时间有何规定？	股票质押回购的回购期限不超过3年，交易时间为每个交易日的9:30至11:30、13:00至15:00。	['业务', '办法', '对', '股票', '质押', '回购', '的', '回购', '期限', '和', '交易', '时间', '有何', '规定']	 业务 办法 股票 质押 回购 回购 期限 交易 时间 有何 规定
股票质押回购都有哪些风险？	第一，市场风险。待购回期间，质押标的证券市值下跌，须按约定提前购回、补充质押标的证券或采取其他约定方式提高履约保障比例。标的证券处于质押状态，融入方无法卖出或另作他用，融入方可能承担因证券价格波动而产生的风险。质押标的证券发生跨市场吸收合并等情形，融入方面临提前购回的风险。　第二，信用风险。融入方违约，根据约定质押标的证券可能被处置的风险；因处置价格、数量、时间等的不确定，可能会给融入方造成损失的风险。　第三，利益冲突的风险。在股票质押回购中，证券公司既可以是融出方或融出方管理人，又根据融入方委托办理交易指令申报以及其他与股票质押回购有关的事项，可能存在利益冲突的风险。　第四，异常情况。融入方进行股票质押回购时应关注各类异常情况及由此可能引发的风险，包括质押标的证券或证券账户、资金账户被司法等机关冻结或强制执行；质押标的证券被作出终止上市决定；集合资产管理计划提前终止；证券公司被暂停或终止股票质押回购权限；证券公司进入风险处置或破产程序等等。　第五，标的证券范围调整。标的证券可能被上交所暂停用于股票质押回购或被证券公司调整出范围，导致初始交易或补充质押无法成交的风险。此外，股票质押回购业务还面临着操作风险、政策风险、不可抗力风险等等，同时，投资者要需要特别注意特殊类型标的证券、交易期限等问题。	['股票', '质押', '回购', '都', '有', '哪些', '风险']	 股票 质押 回购 都 风险
股票质押式回购《业务协议》可分为哪几类？	《业务协议》是规范股票质押回购中各参与主体权利义务的法律文本，协议应既约定基础法律关系，也约定业务管理关系。根据融出方的不同情况，《业务协议》可分为以下三类　一是证券公司自营出资的，由证券公司与融入方签订业务协议；　二是证券公司管理的集合计划、定向客户出资时，由证券公司与融入方签订业务协议；　三是证券公司资产管理子公司管理的集合计划、定向客户出资时，由证券公司、资产管理子公司（代表融出方）、融入方签订业务协议。	['股票', '质押', '式', '回购', '业务', '协议', '可', '分为', '哪', '几类']	 股票 质押 式 回购 业务 协议 分为 几类
UT5.1和UT5.0有何区别，是否必需升级到UT5.1版本？	5.1版的UT客户端相比5.0版本运行更加稳定，还增加了以下功能UT5.1兼容UT5.0的配置文件，如果不需要使用UT5.1的新功能，用户可以仅替换新版本的kernel.bin文件，而继续使用原有的配置文件utconfig.xml。建议所有用户测试并升级到5.1版本的客户端，5.0版本的客户端仍然可以使用，但上交所技术公司以后将不再对5.0版本的UT提供技术支持。	['和', '有何', '区别', '是否', '必需', '升级', '到', '版本']	 有何 区别 是否 必需 升级 到 版本
股票质押式回购限售股质押出现违约应当如何处置？	《业务办法》规定以有限售条件流通股作为标的证券的,解除限售日应早于购回交易日。若待购回期间出现融入方违约，需要处置尚未解除限售股份情形，质权人可以采取以下两种措施一是等待限售股限售期届满解除限售；二是通过司法途径予以拍卖、变卖。通过司法途径对限售股进行拍卖、变卖的，竞买人竞买成功后，仍应遵守相关限售期限制转让的限制。	['股票', '质押', '式', '回购', '限售', '股', '质押', '出现', '违约', '应当', '如何', '处置']	 股票 质押 式 回购 限售 股 质押 出现 违约 应当 处置
股票质押式回购《业务办法》的起草依据是什么？	《业务办法》起草的依据为《中华人民共和国证券法》、《中华人民共和国合同法》、《证券登记结算管理办法》、《上海证券交易所交易规则》、《上海证券交易所会员管理规则》、《中国证券登记结算有限责任公司证券登记规则》、《中国证券登记结算有限责任公司证券账户管理规则》以及其他相关法律、法规、规章及上交所和中国结算其他相关规定。	['股票', '质押', '式', '回购', '业务', '办法', '的', '起草', '依据', '是', '什么']	 股票 质押 式 回购 业务 办法 起草 依据
请问交易单元的流速权为1，每秒可申报多少订单？	“流速权”代表该交易员所分配到的报单权利，该值不完全是指交易员的订单申报速度，而是指允许该交易员的在途订单量（即所允许的订单发出去之后未收到响应最大订单数量）；在途订单量和后台处理订单的平均时间共同决定了订单的处理速度。具体到在途订单量的值是交易系统根据用户链路类型、流速权和对应的一些参数进行计算而得，参数对全市场一致。一般流速权为1时，报单速度不低于10笔/秒就是正常的。	['请问', '交易', '单元', '的', '流速', '权为', '每秒', '可', '申报', '多少', '订单']	 请问 交易 单元 流速 权为 每秒 申报 订单
请问UT5.1业务统计界面上卫星接收硬件参数中的失锁次数是什么？如何清除计数？	卫星机顶盒失锁次数是卫星机顶盒的接收状态的参考，信号失锁次数增加将直接导致丢包。如果没有失锁计数增加而丢包增加，则说明丢包不是卫星信号问题引起的，而可能是用户本地网络或网卡驱动的问题。清除计数方法点击“卫星接收硬件参数”后，点击“whatdothesecontrolsmean?”右面的小蓝人图标，再选择左面菜单中General下的clearstats，即可清除计数。	['请问', '业务', '统计', '界面', '上', '卫星', '接收', '硬件', '参数', '中', '的', '失锁', '次数', '是', '什么', '如何', '清除', '计数']	 请问 业务 统计 界面 上 卫星 接收 硬件 参数 中 失锁 次数 清除 计数
股票质押式回购《业务办法》的起草体现了哪些原则？	《业务办法》起草主要体现以下原则　（一）交易双方意思自治的原则　除交易要素、交易结算流程等由交易所和中国结算公司统一规范外，在保护交易各方的合法权益的前提下，质权人登记、交易履约保障、标的证券权益处理、异常情况处理、违约处置等均由交易双方依据相关法律法规和业务规则通过协议约定。　（二）交易要素标准化管理的原则　该业务实行交易要素标准化，《业务办法》规定了业务申报类型，并明确了各类型的申报要素。此外，还制定《业务协议》、《风险揭示书》必备条款内容。　（三）集中管理的原则　上交所和中国结算对股票质押回购实行集中统一管理。遵循上交所和中国结算交易与结算规定，充分利用现有交易与结算平台，整个交易过程规范简便。　（四）风险可控原则。　遵循风险可测、可控、可承受原则，从交易权限管理、客户适当性管理、标的证券管理、交易规模控制等方面进行规定，严格控制交易风险。	['股票', '质押', '式', '回购', '业务', '办法', '的', '起草', '体现', '了', '哪些', '原则']	 股票 质押 式 回购 业务 办法 起草 体现 原则
网下IPO用户手册在哪里下载？	http://www.sse.com.cn/services/ipo/rules/tech/c/4352954.pdf	['网', '下', '用户手册', '在', '哪里', '下载']	 网 下 用户手册 下载
投资者在网下IPO平台如何查询自己的市值？	需要在当日有询价等操作的日期才能查询，具体方法为查询统计-综合查询-配售对象查询-对哪个股票询价就点该股票后面的查询按钮。	['投资者', '在', '网下', '平台', '如何', '查询', '自己', '的', '市值']	 投资者 网下 平台 查询 市值
如何重置生产环境交易单元密码？	登陆上交所官网后通过“业务办理”-“会籍业务办理”-“其它业务办理”-“交易单元密码重置”菜单在线填写申请表。具体可参考。http://biz.sse.com.cn/member/	['如何', '重置', '生产', '环境', '交易', '单元', '密码']	 重置 生产 环境 交易 单元 密码
固收平台报错3021-用户已被禁止是什么原因？	1、被首席交易员或者场务端限制了权限；2、可能是网络超时，可尝试重新登录。	['固收', '平台', '报错', '用户', '已', '被', '禁止', '是', '什么', '原因']	 固收 平台 报错 用户 已 禁止 原因
如何申请网下IPO用户证书密码？	网下投资者必须完成在证券业协会的登记备案工作后，由具备承销商资质并已办理本所承销商证书的券商代为办理网下申购平台证书。本所不直接面向投资者发放证书及查询证书办理进度，相关事宜具体请洽券商。相关的业务流程请参见“上交所网站→IPO信息专区→业务规则→IPO规则及通知“里最新版本的《关于进一步调整上交所IPO网下申购平台用户证书申请流程的通知》,进入。相关的流程包括承销商代理网下投资者申请与领取证书、证书解锁、证书注销、变更登录用户名、重置用户登录密码等。http://www.sse.com.cn/services/ipo/rules/	['如何', '申请', '网', '下', '用户', '证书', '密码']	 申请 网 下 用户 证书 密码
如何修改网下申购平台证书密码？	登陆网下申购平台有两个密码，分别是证书密码和页面上的用户密码，两者没有任何关系。证书密码弹出来的对话框中的密码中需要输入的密码。初始值在密码信封里，并且只能通过对应的证书管理工具进行修改。需要修改证书密码时，先插入证书，打开证书管理工具，以红色证书为例，点击其中的更改用户密码（以后的新版本会改成更改USBKey设备密码），即可修改证书密码，修改后请牢记。用户密码在网页上输入的密码。登录后，在首页的右上角点击“修改密码”，按照要求操作。	['如何', '修改', '网', '下', '申购', '平台', '证书', '密码']	 修改 网 下 申购 平台 证书 密码
在网下IPO平台进行初步询价录入时，无法选择配售对象怎样处理？		['在', '网下', '平台', '进行', '初步', '询价', '录入', '时', '无法', '选择', '配售', '对象', '怎样', '处理']	 网下 平台 进行 初步 询价 录入 时 无法 选择 配售 对象 处理
网下IPO平台，初步询价后想撤销怎么办？	初步询价信息可以重复提交，以最后一次提交的全部报价记录为准，之前的询价信息视为撤销。	['网', '下', '平台', '初步', '询价', '后', '想', '撤销', '怎么办']	 网 下 平台 初步 询价 后 想 撤销
网下IPO平台登录中，个人投资者的身份证号中有字母，登录用户名是否区分大小写？	不区分	['网', '下', '平台', '登录', '中', '个人', '投资者', '的', '身份证号', '中有', '字母', '登录', '用户名', '是否', '区分', '大小写']	 网 下 平台 登录 中 个人 投资者 身份证号 中有 字母 登录 用户名 是否 区分 大小写
初步询价录入后想修改询价信息怎样操作？	初步询价信息可以重复提交，以最后一次提交的全部报价记录为准，之前的询价信息视为撤销。	['初步', '询价', '录入', '后', '想', '修改', '询价', '信息', '怎样', '操作']	 初步 询价 录入 后 想 修改 询价 信息 操作
在网下IPO申购后想撤销怎样操作？	申购交易员（询价对象）只可为入围的每一个配售（有效配售对象）对象填报一笔申购报价记录，为全部有效配售对象录入申购记录后，应当一次性提交。申购记录可重复提交，以最后一次申购信息为准，之前提交的申购记录状态将变为撤销。	['在', '网下', '申购', '后', '想', '撤销', '怎样', '操作']	 网下 申购 后 想 撤销 操作
网下IPO平台怎样确定初步询价申报成功提交？	初步询价录入提交后系统会提示保存成功。登录网下IPO申购平台，通过“查询统计–>综合查询–>初步询价明细查询”查看本次发行当前用户的提交的初步询价操作记录；若多次提交，最后一次有效，状态为“有效”，之前的提交记录无效，系统显示状态为“撤销”。	['网', '下', '平台', '怎样', '确定', '初步', '询价', '申报', '成功', '提交']	 网 下 平台 确定 初步 询价 申报 成功 提交
为什么投资者申购新股会废单返回11128“投资者无此非交易权限”？	投资者可能使用了A99开头的证券账户进行新股申购。A99开头的证券账户是沪市B转A特殊A股账户，不可用于新股申购。	['为什么', '投资者', '申购', '新股', '会', '废单', '返回', '投资者', '无此', '非', '交易', '权限']	 投资者 申购 新股 会 废单 返回 投资者 无此 非 交易 权限
上交所网下IPO平台是否需要进行关联账户报备？	不需要。	['上交所', '网', '下', '平台', '是否', '需要', '进行', '关联', '账户', '报备']	 上交所 网 下 平台 是否 需要 进行 关联 账户 报备
用户如何确定网下IPO申购成功提交网下IPO平台？	提交后系统会提示保存成功。登录网下IPO申购平台，通过“查询统计–>综合查询–>累计投标/定价发行/直接定价明细查询”（操作见手册）查看本次发行当前用户的提交的操作记录；若多次提交，最后一次有效，状态为“有效”，之前的提交记录无效，系统显示状态为“撤销”。	['用户', '如何', '确定', '网', '下', '申购', '成功', '提交', '网', '下', '平台']	 用户 确定 网 下 申购 成功 提交 网 下 平台
备案的时候银行账户填错了，后面去协会更改过但平台上还是未更改的数据，怎样更正网下ipo平台的信息？	在某只券的初步询价前一交易日，平台接收协会配售对象数据后，将信息与该券进行绑定。此后，在该券的发行期间内，即使协会传来的配售对象信息发生变化，与该券绑定的配售对象信息也不会变更。只有变更后的配售对象信息与新券绑定后，在新券的配售对象查询页面，才能看到更新后的配售对象信息。	['备案', '的', '时候', '银行', '账户', '填错', '了', '后面', '去', '协会', '更改', '过', '但', '平台', '上', '还是', '未', '更改', '的', '数据', '怎样', '更正', '网', '下', '平台', '的', '信息']	 备案 银行 账户 填错 后面 去 协会 更改 平台 上 未 更改 数据 更正 网 下 平台 信息
开立证券账户当天可以做指定交易吗？	开立证券账户后，下一交易日可进行指定交易。	['开立', '证券', '账户', '当天', '可以', '做', '指定', '交易', '吗']	 开立 证券 账户 当天 做 指定 交易
在非询价日投资者可以在网下IPO平台查询市值吗？	不可以	['在', '非', '询价', '日', '投资者', '可以', '在', '网下', '平台', '查询', '市值', '吗']	 非 询价 投资者 网下 平台 查询 市值
如何修改上海证券交易所网下IPO申购平台中配售对象的联系人信息？	中的配售对象信息均从导入，如需修改请联系中国证券业协会。http://www.sac.net.cn/	['如何', '修改', '上海证券交易所', '网', '下', '申购', '平台', '中', '配售', '对象', '的', '联系人', '信息']	 修改 上海证券交易所 网 下 申购 平台 中 配售 对象 联系人 信息
期权系统对经纪业务总持仓有控制。当总持仓超限，交易所前端控制会报废单吗？	当总持仓超限，交易所前端控制会报废单。	['期权', '系统对', '经纪', '业务', '总持仓', '有', '控制', '当', '总持仓', '超限', '交易所', '前端', '控制', '会', '报废', '单', '吗']	 期权 系统对 经纪 业务 总持仓 控制 总持仓 超限 交易所 前端 控制 会 报废 单
标的证券停牌，是否影响股票质押回购交易？	根据《股票质押式回购交易及登记结算业务办法》第四十条规定。第四十条标的证券停牌的，不影响股票质押回购交易。	['标的', '证券', '停牌', '是否', '影响', '股票', '质押', '回购', '交易']	 标的 证券 停牌 是否 影响 股票 质押 回购 交易
EzSR目前支持的操作系统是否包括WindowsServer2012？	EzSR目前支持的操作系统包括WindowsServer2012.	['目前', '支持', '的', '操作系统', '是否', '包括']	 目前 支持 操作系统 是否 包括
上证LOF申购、赎回后可以撤单吗？	上证LOF申购、赎回后可以进行撤单。投资者通过综合业务平台申购、赎回的上证LOF，在同一交易日可多次提交申购、赎回申报，当日提交的申购、赎回申报，在当日接受申购、赎回申报的时段内可以撤销。	['上证', '申购', '赎回', '后', '可以', '撤单', '吗']	 上证 申购 赎回 后 撤单
申请通信线路需要走什么流程？	建议参考网站的产品与服务，详情请拨打受理电话进行咨询021-58656238。http://www.stocom.net/cpyfw/	['申请', '通信线路', '需要', '走', '什么', '流程']	 申请 通信线路 需要 走 流程
在网下IPO平台中，怎样确定自己的询价是否入围？	申购前一日1500后登录网下IPO平台，可以查看配售对象是否入围。点击“查询统计-综合查询”，点击“有效配售对象查询”找到发行的证券，点击“查询”，可以看到入围的有效配售对象的具体信息。如申购前一日15:00后，列表中仍缺少配售对象信息，则表示未入围。如有疑问，请及时联系第一主承销商。	['在', '网下', '平台', '中', '怎样', '确定', '自己', '的', '询价', '是否', '入围']	 网下 平台 中 确定 询价 是否 入围
网下IPO平台询价时，在查询统计——综合查询——配售对象查询中看不到初步询价市值是什么原因？	1.需要在当日有询价等操作的日期才能查询；2.可能因为该网下IPO账户在证券业协会报备的股东号不正确，导致该用户市值在网下IPO平台中无法显示。建议联系券商确认报备信息是否准确；3.可能因为市值不到1w,如对网下IPO系统提供的市值有疑问建议致电中登官方客服电话4008058058，提供证券账户即可查询。	['网', '下', '平台', '询价', '时', '在', '查询', '统计', '综合', '查询', '配售', '对象', '查询', '中', '看不到', '初步', '询价', '市值', '是', '什么', '原因']	 网 下 平台 询价 时 查询 统计 综合 查询 配售 对象 查询 中 看不到 初步 询价 市值 原因
如何查询网下IPO申购平台资金到账情况？	网下投资者可于T+2日当日（T日为网下申购日，T+2日为网下申购日后2个交易日），每只新股缴款完成后，登陆网下IPO平台，点击“查询统计”菜单下“资金到账查询”选项，进入“申购资金到账明细查询”页面，进行实时查询。实时查询时间段为每个交易日的9:30-16:00，此外T+2日晚20:30将进行当日最后一次更新，即T+2日最终资金到账情况以当晚20:30的查询结果为准。网下投资者如对资金到账情况有异议，请咨询该只新股的主承销商。	['如何', '查询', '网', '下', '申购', '平台', '资金', '到', '账', '情况']	 查询 网 下 申购 平台 资金 到 账 情况
固定收益平台的客户端在哪里下载？	在固定收益平台的Ekey成功认证后访问，下载固定收益平台客户端。https://120.204.69.12/	['固定', '收益', '平台', '的', '客户端', '在', '哪里', '下载']	 固定 收益 平台 客户端 下载
如何修改网下IPOCA证书密码？	登陆网下申购平台有两个密码，分别是证书密码和页面上的用户密码，两者没有任何关系。证书密码弹出来的对话框中的密码中需要输入的密码。初始值在密码信封里，并且只能通过对应的证书管理工具进行修改。需要修改证书密码时，先插入证书，打开证书管理工具，以红色证书为例，点击其中的更改用户密码（以后的新版本会改成更改USBKey设备密码），即可修改证书密码，修改后请牢记。用户密码在网页上输入的密码。登录后，在首页的右上角点击“修改密码”，按照要求操作。	['如何', '修改', '网', '下', '证书', '密码']	 修改 网 下 证书 密码
同一个交易单元申报的2笔rec_num相同的订单会怎样处理？	交易系统后台对同一个PBU同一个证券产品集SET内相同rec_num的订单不会重复处理。若这2笔订单中产品（证券代码）属于同一个SET，才会认为后申报的这笔订单重复，不会处理。各产品所属产品集SET编号可在产品基础信息文件接口cpxxMMDD.txt中查询。	['同一个', '交易', '单元', '申报', '的', '笔', '相同', '的', '订单', '会', '怎样', '处理']	 同一个 交易 单元 申报 笔 相同 订单 会 处理
网下IPO个人投资者备案时使用护照或港澳通行证等证件，用户名是什么？	在护照或者港澳通行证号码前补“0”，使得补后的位数为15位。这15位号码即是登录用户名。	['网', '下', '个人', '投资者', '备案', '时', '使用', '护照', '或', '港澳', '通行证', '等', '证件', '用户名', '是', '什么']	 网 下 个人 投资者 备案 时 使用 护照 港澳 通行证 证件 用户名
如何申请网下IPOCA证书密码？	网下投资者必须完成在证券业协会的登记备案工作后，由具备承销商资质并已办理本所承销商证书的券商代为办理网下申购平台证书。本所不直接面向投资者发放证书及查询证书办理进度，相关事宜具体请洽券商。相关的业务流程请参见“上交所网站→IPO信息专区→业务规则→IPO规则及通知“里最新版本的《关于进一步调整上交所IPO网下申购平台用户证书申请流程的通知》，由进入。相关的流程包括承销商代理网下投资者申请与领取证书、证书解锁、证书注销、变更登录用户名、重置用户登录密码等。http://www.sse.com.cn/services/ipo/rules/	['如何', '申请', '网', '下', '证书', '密码']	 申请 网 下 证书 密码
网下IPO怎样确定自己的申购成功提交？	提交后系统会提示保存成功。登录网下IPO申购平台，通过“查询统计–>综合查询–>累计投标/定价发行/直接定价明细查询”查看本次发行当前用户的提交的操作记录；若多次提交，最后一次有效，状态为“有效”，之前的提交记录无效，系统显示状态为“撤销”。	['网', '下', '怎样', '确定', '自己', '的', '申购', '成功', '提交']	 网 下 确定 申购 成功 提交
固定收益平台电子化委托接口中的交易员字段需要大写么？	固定收益平台电子化委托接口中的交易员字段需要大写，如“Z12345”。	['固定', '收益', '平台', '电子化', '委托', '接口', '中', '的', '交易员', '字', '段', '需要', '大写', '么']	 固定 收益 平台 电子化 委托 接口 中 交易员 字 段 需要 大写
大宗交易的业务权限需要单独申请吗？	不需要，默认每个PBU都有该权限。	['大宗', '交易', '的', '业务', '权限', '需要', '单独', '申请', '吗']	 大宗 交易 业务 权限 需要 单独 申请
固定收益平台的所有业务都可以通过电子报盘接口申报吗？	固定收益平台的部分业务目前无法通过电子报盘接口进行申报，包括询价、换股、回售及债券质押式协议回购。	['固定', '收益', '平台', '的', '所有', '业务', '都', '可以', '通过', '电子', '报盘', '接口', '申报', '吗']	 固定 收益 平台 所有 业务 都 电子 报盘 接口 申报
港股通委托返回废单，错误代码30550。	港股通委托返回废单，错误代码30550原因是申报订单的时候，该产品停牌了，mktdt04文件中SecTradingStatus（证券交易状态）会揭示产品停牌信息。	['港股', '通', '委托', '返回', '废单', '错误代码']	 港股 通 委托 返回 废单 错误代码
登录固定收益证券综合电子平台时提示1133口令不正确是什么原因？	登录时输入的用户口令（系统口令）不正确，故弹出此提示框。	['登录', '固定', '收益', '证券', '综合', '电子', '平台', '时', '提示', '口令', '不', '正确', '是', '什么', '原因']	 登录 固定 收益 证券 综合 电子 平台 时 提示 口令 不 正确 原因
固定收益平台的交易员为什么可以查询、下载本方其他交易员的成交数据？		['固定', '收益', '平台', '的', '交易员', '为什么', '可以', '查询', '下载', '本方', '其他', '交易员', '的', '成交', '数据']	 固定 收益 平台 交易员 查询 下载 本方 交易员 成交 数据
忘记网下IPO申购平台密码怎么办？	登陆网下申购平台有两个密码，分别是证书密码和页面上的用户密码，两者没有任何关系。证书密码忘记（弹出来的对话框中的密码）采用证书解锁流程页面上的密码忘记采用重置用户登录密码流程相关流程参见“上交所网站→IPO信息专区→业务规则→IPO规则及通知“里最新版本的《关于进一步调整上交所IPO网下申购平台用户证书申请流程的通知》,由进入。http://www.sse.com.cn/services/ipo/rules/	['忘记', '网', '下', '申购', '平台', '密码', '怎么办']	 忘记 网 下 申购 平台 密码
EzSTEP报盘数据库reqresp表中，localrespnum与reqnum的值是否一致？	EzSTEP报盘数据库reqresp表中，localrespnum的取值不一定与reqnum一致。不同的业务可能是不同的交易主机进行处理，此情况下后台不能保证按发送请求的顺序返回响应。	['报盘', '数据库', '表中', '与', '的', '值', '是否', '一致']	 报盘 数据库 表中 值 是否 一致
全天候测试环境中，是否支持托管行参与测试？	支持，但上交所全天候测试环境暂不支持发送打包的托管数据，托管人可让管理人提供过户文件并结合登记公司全天候环境的结算数据进行测试。	['全天候', '测试环境', '中', '是否', '支持', '托管', '行', '参与', '测试']	 全天候 测试环境 中 是否 支持 托管 行 参与 测试
固定收益证券综合电子平台客户端怎样下载？		['固定', '收益', '证券', '综合', '电子', '平台', '客户端', '怎样', '下载']	 固定 收益 证券 综合 电子 平台 客户端 下载
全天候测试环境中大宗交易的各类业务申报时间段是多少？	中大宗交易的各类业务申报时间段	['全天候', '测试环境', '中', '大宗', '交易', '的', '各类', '业务', '申报', '时间段', '是', '多少']	 全天候 测试环境 中 大宗 交易 各类 业务 申报 时间段
竞价平台做交易返回废单，错误代码216该帐号未指定在你席位是什么原因？	该证券账户与申报订单的PBU不存在指定关系，可能是以下原因导致	['竞价', '平台', '做', '交易', '返回', '废单', '错误代码', '该', '帐号', '未指定', '在', '你', '席位', '是', '什么', '原因']	 竞价 平台 做 交易 返回 废单 错误代码 帐号 未指定 你 席位 原因
港股通订单返回废单，错误代码30456请问是什么原因？	[30456]9998Systembusy-messagerejected。在OrderMatching（对盘）、ReferencePriceFixing（参考价定价）及NoCancellation（不可取消）时段由于系统正在运算，有可能返回“9998Systembusy-messagerejected”。	['港股', '通', '订单', '返回', '废单', '错误代码', '请问', '是', '什么', '原因']	 港股 通 订单 返回 废单 错误代码 请问 原因
优先股股东进行上交所网络投票，申报消息中证券代码应填写普通股代码还是优先股代码？	应填写投票议案公告文件中‘投票产品代码’votecode。	['优先股', '股东', '进行', '上交所', '网络', '投票', '申报', '消息', '中', '证券', '代码', '应', '填写', '普通股', '代码', '还是', '优先股', '代码']	 优先股 股东 进行 上交所 网络 投票 申报 消息 中 证券 代码 应 填写 普通股 代码 优先股 代码
怎样理解《投资者适当性管理办法》的总体思路？	《投资者适当性管理办法》的思路是以强化经营机构的适当性责任为主线，要求经营机构对投资者进行科学分类，把“了解投资者”、“了解产品”、“投资者与产品匹配”、“风险揭示”等作为基本的经营原则。不了解投资者就卖产品，不把风险讲清楚就卖产品，既背离基本道义，也违反了法律义务。《投资者适当性管理办法》围绕评估投资者风险承受能力和产品风险等级、充分揭示风险、提出匹配意见等要求，通过一系列看得见、抓得着的制度安排，规范经营机构义务，同时明确监管机构和自律组织履职要求，对违反规定的行为制定了相应的监督管理措施，确保各项安排落到实处。通过行政监管和自律管理，引导和推动经营机构自觉落实适当性义务，这是产品销售中充分保护投资者合法权益的基础与必然要求，也是成熟市场通行的做法。2008年金融危机后，境外成熟市场普遍要求经营机构在向投资者销售产品时，遵循一系列适当性行为准则，制定适当性管理的内部制度和程序，确保履行适当性义务。	['怎样', '理解', '投资者', '适当', '性', '管理', '办法', '的', '总体', '思路']	 理解 投资者 适当 性 管理 办法 总体 思路
:《投资者适当性管理办法》的主要内容有哪些？重点解决了哪些问题？	:《投资者适当性管理办法》作为投资者适当性管理的基本规范，首次对投资者基本分类做出了统一安排，明确了产品分级和适当性匹配的底线要求，系统规定了经营机构违反适当性义务的处罚措施。《投资者适当性管理办法》共43条，针对适当性管理中的实际问题，主要规定了以下制度安排一是形成了依据多维度指标对投资者进行分类的体系，统一投资者分类标准和管理要求，解决了投资者分类无统一标准、无底线要求和分类职责不明确等问题。二是明确了产品分级的底线要求和职责分工，建立层层把关、严控风险的产品分级机制，建立了监管部门确立底线要求、行业协会制定产品或者服务风险等级名录、经营机构具体划分产品或者服务风险等级的产品分级体系。三是规定了经营机构从了解投资者到纠纷处理等各个环节应当履行的适当性义务，全面从严规范相关行为，突出了适当性义务规定的可操作性，细化其具体内容、方式和程序，避免成为原则性的“口号立法”。四是突出对于普通投资者的特别保护，向投资者提供有针对性的产品及差别化服务。五是强化了监管职责与法律责任，针对各项义务制定了相应的违规罚则，确保适当性义务落到实处，避免《投资者适当性管理办法》成为无约束力的“豆腐立法”和“没有牙齿的立法”。	['投资者', '适当', '性', '管理', '办法', '的', '主要', '内容', '有', '哪些', '重点', '解决', '了', '哪些', '问题']	 投资者 适当 性 管理 办法 主要 内容 重点 解决 问题
